"STATEFIP","avg_mhd","stname","stusps"
"1",1.2397777864563,"Alabama"," AL"
"4",1.15456482762609,"Arizona"," AZ"
"5",0.89969020403803,"Arkansas"," AR"
"6",1.25589531459283,"California"," CA"
"8",1.36415870126937,"Colorado"," CO"
"9",1.28771541401003,"Connecticut"," CT"
"10",1.42178177773283,"Delaware"," DE"
"11",0.880004389815628,"District of Columbia"," DC"
"12",0.945852872215709,"Florida"," FL"
"15",1.39726164301419,"Hawaii"," HI"
"16",0.698050005981577,"Idaho"," ID"
"17",1.38410645703313,"Illinois"," IL"
"18",1.63728823430914,"Indiana"," IN"
"19",1.30004700364938,"Iowa"," IA"
"21",1.55376207744782,"Kentucky"," KY"
"22",0.762362672214752,"Louisiana"," LA"
"24",1.16508508695958,"Maryland"," MD"
"25",0.526172156312777,"Massachusetts"," MA"
"26",1.66306967359767,"Michigan"," MI"
"27",1.8547447232621,"Minnesota"," MN"
"28",1.40119837563927,"Mississippi"," MS"
"29",1.15915664385086,"Missouri"," MO"
"30",1.61083267248216,"Montana"," MT"
"31",1.27478685506144,"Nebraska"," NE"
"32",0.776114081996435,"Nevada"," NV"
"34",1.13449033642163,"New Jersey"," NJ"
"35",1.28327859641613,"New Mexico"," NM"
"36",1.49935265583732,"New York"," NY"
"37",1.42365853175781,"North Carolina"," NC"
"38",1.06014712245781,"North Dakota"," ND"
"39",1.22544586370406,"Ohio"," OH"
"40",1.0358338816274,"Oklahoma"," OK"
"41",1.41790668160869,"Oregon"," OR"
"42",1.04155193239919,"Pennsylvania"," PA"
"44",1.31975117664483,"Rhode Island"," RI"
"45",1.62181163409487,"South Carolina"," SC"
"46",0.96178891755744,"South Dakota"," SD"
"47",0.819437710008081,"Tennessee"," TN"
"48",1.07721527212023,"Texas"," TX"
"49",1.3537213655406,"Utah"," UT"
"50",1.27070338739085,"Vermont"," VT"
"51",1.78767028700011,"Virginia"," VA"
"53",1.21111854929217,"Washington"," WA"
"54",1.85916411421796,"West Virginia"," WV"
"55",1.00949531555069,"Wisconsin"," WI"
"56",1.33421505905512,"Wyoming"," WY"
"72",1.37320082248115,NA,NA
"99",0.783163265306122,NA,NA
"2",NA,"Alaska"," AK"
"13",NA,"Georgia"," GA"
"20",NA,"Kansas"," KS"
"23",NA,"Maine"," ME"
"33",NA,"New Hampshire"," NH"
