"STATEFIP","perc_su_22","stname","stusps","perc_su_18","perc_su_diff"
"1",0.134233663621433,"Alabama","AL",0.145805670545965,-0.0115720069245322
"2",0.683725365543548,"Alaska","AK",NA,NA
"4",0.165739072342948,"Arizona","AZ",0.225534205620784,-0.0597951332778359
"5",0.0675006226994726,"Arkansas","AR",0.0323282768934941,0.0351723458059785
"6",0.139185342996747,"California","CA",0.178191103543182,-0.0390057605464345
"8",0.0506330076417158,"Colorado","CO",0.00281639620849193,0.0478166114332239
"9",0.498865778459375,"Connecticut","CT",0.296092477673582,0.202773300785793
"10",0.763721676853738,"Delaware","DE",0.840024269390232,-0.0763025925364934
"11",0.0216094140021396,"District of Columbia","DC",0.102392449517121,-0.0807830355149817
"12",0.99907248219368,"Florida","FL",0.125412148300119,0.873660333893561
"13",0.999163926650642,"Georgia","GA",NA,NA
"15",0.220436529482028,"Hawaii","HI",0.313411952828303,-0.0929754233462748
"16",0.106865199631045,"Idaho","ID",0.144335446823784,-0.0374702471927388
"17",0.0601501006772835,"Illinois","IL",0.0770373259721552,-0.0168872252948717
"18",0.184714657415436,"Indiana","IN",0.166150978836172,0.0185636785792646
"19",0.103495336532866,"Iowa","IA",0.0983749412454379,0.00512039528742789
"20",NA,"Kansas","KS",NA,NA
"21",0.240379883215175,"Kentucky","KY",0.20383942383283,0.0365404593823448
"22",0.946320385907957,"Louisiana","LA",0.157004034201913,0.789316351706044
"24",0.174113982974781,"Maryland","MD",0.248655228107957,-0.0745412451331756
"25",0.998277417767205,"Massachusetts","MA",0.996020164499867,0.00225725326733806
"26",0.878034942807408,"Michigan","MI",0.735252400270744,0.142782542536664
"27",0.254029243528002,"Minnesota","MN",0.292205221522282,-0.0381759779942801
"28",0.752919379693052,"Mississippi","MS",NA,NA
"29",0.386046449865218,"Missouri","MO",0.423693543954246,-0.0376470940890282
"30",0.347398469247838,"Montana","MT",0.299920697858842,0.0474777713889955
"31",0.998428872828478,"Nebraska","NE",0.00428291238041884,0.994145960448059
"32",0.115664746168061,"Nevada","NV",0.147288006111536,-0.031623259943475
"33",0.222767374864962,"New Hampshire","NH",NA,NA
"34",0.0851835688843496,"New Jersey","NJ",0.0860442929829882,-0.000860724098638563
"35",0.213657908486976,"New Mexico","NM",0.20556109241955,0.00809681606742577
"36",0.448508781045411,"New York","NY",0.452553988503167,-0.00404520745775611
"37",0.00202070444865833,"North Carolina","NC",NA,NA
"38",0.393241167434715,"North Dakota","ND",0.25667099379778,0.136570173636935
"39",0.996654619714904,"Ohio","OH",0.231222697459855,0.765431922255049
"40",0.91459276977624,"Oklahoma","OK",0.12026789484538,0.79432487493086
"41",0.20662394407224,"Oregon","OR",0.321523196010183,-0.114899251937944
"42",0.725183208085962,"Pennsylvania","PA",0.11776908833345,0.607414119752512
"44",0.358877417478551,"Rhode Island","RI",0.374123687588455,-0.0152462701099042
"45",0.194441338226474,"South Carolina","SC",0.160828975135335,0.033612363091139
"46",NA,"South Dakota","SD",0.179997542695662,NA
"47",0.260733386154305,"Tennessee","TN",0.27907787843988,-0.0183444922855746
"48",0.169032458666232,"Texas","TX",0.166618351934507,0.00241410673172551
"49",0.10158190395226,"Utah","UT",0.0912737320616817,0.0103081718905781
"50",NA,"Vermont","VT",NA,NA
"51",0.319326103795509,"Virginia","VA",0.326512376016444,-0.00718627222093454
"53",0.101187420250693,"Washington","WA",0.122024454114079,-0.0208370338633853
"54",0.711806486196731,"West Virginia","WV",0.148186938049598,0.563619548147133
"55",0.0610523629971923,"Wisconsin","WI",0.066635764752154,-0.00558340175496169
"56",0.0940164866401368,"Wyoming","WY",0.107960137795275,-0.0139436511551387
"72",0.918582736524688,NA,NA,0.512679917751884,0.405902818772804
"99",0.211019929660023,NA,NA,0.377551020408164,-0.16653109074814
"23",NA,"Maine","ME",NA,NA
