"STATEFIP","total_su","stname","stusps"
"1",12504,"Alabama","AL"
"2",6453,"Alaska","AK"
"4",70458,"Arizona","AZ"
"5",4878,"Arkansas","AR"
"6",83232,"California","CA"
"8",6659,"Colorado","CO"
"9",46842,"Connecticut","CT"
"10",12370,"Delaware","DE"
"11",909,"District of Columbia","DC"
"12",345764,"Florida","FL"
"13",124287,"Georgia","GA"
"15",2030,"Hawaii","HI"
"16",1622,"Idaho","ID"
"17",1643,"Illinois","IL"
"18",26622,"Indiana","IN"
"19",32002,"Iowa","IA"
"20",0,"Kansas","KS"
"21",36144,"Kentucky","KY"
"22",41393,"Louisiana","LA"
"24",41705,"Maryland","MD"
"25",24340,"Massachusetts","MA"
"26",249167,"Michigan","MI"
"27",87666,"Minnesota","MN"
"28",84528,"Mississippi","MS"
"29",29072,"Missouri","MO"
"30",27869,"Montana","MT"
"31",22242,"Nebraska","NE"
"32",2128,"Nevada","NV"
"33",9898,"New Hampshire","NH"
"34",34940,"New Jersey","NJ"
"35",45798,"New Mexico","NM"
"36",21580,"New York","NY"
"37",195,"North Carolina","NC"
"38",4608,"North Dakota","ND"
"39",74182,"Ohio","OH"
"40",107825,"Oklahoma","OK"
"41",35467,"Oregon","OR"
"42",388799,"Pennsylvania","PA"
"44",12340,"Rhode Island","RI"
"45",19127,"South Carolina","SC"
"46",0,"South Dakota","SD"
"47",21061,"Tennessee","TN"
"48",75021,"Texas","TX"
"49",6094,"Utah","UT"
"50",0,"Vermont","VT"
"51",39576,"Virginia","VA"
"53",33703,"Washington","WA"
"54",10623,"West Virginia","WV"
"55",4307,"Wisconsin","WI"
"56",1323,"Wyoming","WY"
"72",2437,NA,NA
"99",180,NA,NA
"23",NA,"Maine","ME"
